,id,author_id,lang,text,title,created_at,url,source,normalized_text,type,probability,tag 1,tag 2,tag 3,tag 4,tag 5,Mentions Total,retweet count,reply count,like count,quote count,possibly_sensitive
0,1453477220962508804,222297818,en,RT @Wario64: Humble Games Bundle: Sonic the Hedgehog 30th Anniversary https://t.co/q5TDsYoyXU #ad https://t.co/AieP6Gn9Xv,Sonic 30th Anniversary Bundle,2021-10-27T21:42:28.000Z,https://t.co/q5TDsYoyXU,Twitter for Android,Sonic the Hedgehog 30th Anniversary,Other,0.2677,ad,,,,,1,177,0,0,0,False
1,1453477219972497412,3193628984,en,"RT @snkr_twitr: LIVE in 35mins: Sean Wotherspoon x adidas Superstar ‘Super Earth/Black’

AG https://t.co/EqqGClsu1O
FD https://t.co/Ola9hZY…",Adidas x Sean Wotherspoon SuperEarth Superstar (Core Black / Bright Yellow / Green),2021-10-27T21:42:28.000Z,https://t.co/EqqGClsu1O,Twitter Web App,Sean Wotherspoon,Person,0.854,,,,,,1,2,0,0,0,False
2,1453477210996805636,1342919737358110720,en,"🇬🇧🇬🇧🇬🇧 [MAY NOT SHIP TO US] [£25.99]
amiibo SAMUS/E.M.M.I. 2-in-1 Pack (Nintendo Switch)
Source: Amazon Checker v3R (Offer Popout)
Reason: Sold by Amazon

🛒: https://t.co/PcPNNLKeEj
05:42:24.4210 PM EDT #Ad

https://t.co/aoy06jCHVK",Amazon.co.uk Shopping Basket,2021-10-27T21:42:26.000Z,https://t.co/PcPNNLKeEj,Twitter,Nintendo Switch) Source,Product,0.1741,Ad,,,,,0,0,0,0,0,False
3,1453477194169208832,1366596637133598722,en,"❗50% OFF🔥 ***USE CODE: DTV8663X
😎 Did you snag this deal ?
🌟🌟🌟 SHOP DEALS 👉 https://t.co/g7GjuLq2QC
DEAL MIGHT EXPIRE ANYTIME. #ad #deals #Coupon #discounted #sale #amazon  LINK https://t.co/FyiNeiTObq",Perfect Goods Store,2021-10-27T21:42:22.000Z,https://t.co/g7GjuLq2QC,Twitter Web App,,,,ad,deals,Coupon,discounted,sale,0,0,0,0,0,False
5,1453477107170824194,828411832641613825,en,RT @Wario64: Humble Games Bundle: Sonic the Hedgehog 30th Anniversary https://t.co/q5TDsYoyXU #ad https://t.co/AieP6Gn9Xv,Sonic 30th Anniversary Bundle,2021-10-27T21:42:01.000Z,https://t.co/q5TDsYoyXU,Twitter Web App,Sonic the Hedgehog 30th Anniversary,Other,0.2677,ad,,,,,1,177,0,0,0,False
6,1453477104104976385,719690726641164288,en,RT @TheLocalSweden: It's conveniently situated between Sweden's two biggest cities. It's only 10 minutes from the city centre to the neares…,,2021-10-27T21:42:00.000Z,,Twitter for Android,Sweden,Place,0.9969,,,,,,1,3,0,0,0,False
8,1453477079756967936,422437814,en,RT @Wario64: Disco Elysium: The Final Cut (Xbox) is up for preorder at Amazon ($39.99) https://t.co/bDncMzmwjK #ad https://t.co/4odjNzuQhq,,2021-10-27T21:41:54.000Z,https://t.co/bDncMzmwjK,Twitter for iPhone,Disco Elysium: The Final Cut,Product,0.5833,ad,,,,,1,6,0,0,0,False
9,1453477079480246277,2584392282,en,RT @Wario64: Grand Theft Auto: The Trilogy – The Definitive Edition (Switch) is up for preorder at Best Buy ($59.99) https://t.co/7rbPK7xut…,,2021-10-27T21:41:54.000Z,,Twitter for Android,Grand Theft Auto: The Trilogy – The Definitive Edition,Product,0.1828,,,,,,1,13,0,0,0,False
11,1453477065794236417,2513649325,en,"Amazon․it: MSI GeForce RTX 3060 GAMING Z TRIO 12G Scheda grafica 12GB GDDR6, 1867MHz, 3x DisplayPort, HDMI, TriFrozr Fan
https://t.co/0TL0tTJPCn
€749 as of 21:41 UTC
Sold by Amazon․it
#ad #gpu #gaming",,2021-10-27T21:41:51.000Z,https://t.co/0TL0tTJPCn,Twitter,Amazon․,Product,0.5328,ad,gpu,gaming,,,0,0,0,0,0,False
12,1453477060333166601,1453469948219731969,en,RT @IAmAlanWalker: a look into my ROG Zephyrus G14 AW SE 💻 #ROGALANWALKER #ForThoseWhoDare #ZephyrusG14 #ad https://t.co/XtTIi2ZMU5,,2021-10-27T21:41:50.000Z,https://t.co/XtTIi2ZMU5,Twitter for Android,,,,ROGALANWALKER,ForThoseWhoDare,ZephyrusG14,ad,,1,91,0,0,0,False
13,1453477053928329216,71397462,en,"#Ad • A post-apocalyptic story that turned out not to be what I would have expected...

Midnight is My Time by Mike Dellosso
➡️ https://t.co/Cmpj2Nyb7A 

📄 🕊️ 🚨 📚

#BookReview #ChristFic #Suspense #Books https://t.co/mwI17kUDAt",,2021-10-27T21:41:48.000Z,https://t.co/Cmpj2Nyb7A,Twitter for Android,Midnight is My Time,Other,0.3096,Ad,BookReview,ChristFic,Suspense,Books,0,0,0,0,0,False
14,1453477020747255808,1448950105059598336,en,"RT @sallyeaves: Scaling #AI in #Manufacturing 
Enhance #safety &amp; #quality + reduce #costs 
It's simplified #AI based #MachineLearning
Explo…",,2021-10-27T21:41:40.000Z,,Twitter,,,,AI,Manufacturing,safety,quality,costs,1,6,0,0,0,False
15,1453477014028095492,1041444076183334912,en,"RT @AchievementHunt: Come out, come out wherever you are! 

🪓 https://t.co/MlnsGcAhAk #ad https://t.co/7nfLUwWhHb",,2021-10-27T21:41:39.000Z,https://t.co/MlnsGcAhAk,Twitter for iPhone,,,,ad,,,,,1,1,0,0,0,False
16,1453477003986935812,1183506566848352256,en,"RT @wendt_lynn: @Sidsupporter2 @RedPlanetTV @masterpiecepbs @BritBox_UK @ITV He must #celebratesidlotte 
#SanditonNeedsSidney #SidlotteFore…",,2021-10-27T21:41:36.000Z,,Twitter Web App,,,,celebratesidlotte,SanditonNeedsSidney,,,,2,4,0,0,0,False
17,1453476998521708544,1132890775891505152,en,"RT @sallyeaves: Scaling #AI in #Manufacturing 
Enhance #safety &amp; #quality + reduce #costs 
It's simplified #AI based #MachineLearning
Explo…",,2021-10-27T21:41:35.000Z,,RT #MachineLearning,,,,AI,Manufacturing,safety,quality,costs,1,6,0,0,0,False
18,1453476993400328195,97479255,en,"RT @MissingLynxx: #ad Celebrate with the #OfficialWineofHalloween, #CasillerodelDiablo, &amp; enter the Legendary Halloween sweeps for a chance…",,2021-10-27T21:41:34.000Z,,Twitter Web App,Legendary Halloween,Other,0.3468,ad,OfficialWineofHalloween,CasillerodelDiablo,,,1,13,0,0,0,False
